custom_label,conf,IMAGE_FILENAME,SCALE,ROI_SIZE_MM,NON_TRANSPARENT_PIXELS,AREA_MM2,species,temp,sex,replicate,split
DROSO_01_MEL_19_F,0.925946533679962,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_43_UUID_DROSO_01_MEL_19_F.jpg,0.414814814814815,4.28625,91109,5.74022289453125,MEL,19,F,1,train
DROSO_01_SIM_19_M,0.926217436790466,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_right_CROPNUMBER_16_UUID_DROSO_01_SIM_19_M.jpg,0.507936507936508,3.5004375,81003,5.10350541796875,SIM,19,M,1,train
DROSO_01_MEL_19_F,0.92626142501831,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_42_UUID_DROSO_01_MEL_19_F.jpg,0.355555555555556,5.000625,122531,7.71993163671875,MEL,19,F,1,train
DROSO_01_MEL_19_F,0.926309406757355,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_41_UUID_DROSO_01_MEL_19_F.jpg,0.447105788423154,3.9766875,80970,5.1014262890625,MEL,19,F,1,train
DROSO_01_VIR_19_F,0.926451802253723,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_left_CROPNUMBER_13_UUID_DROSO_01_VIR_19_F.jpg,0.379661016949153,4.683125,101796,6.413545640625,VIR,19,F,1,train
DROSO_01_LUT_19_M,0.926472067832947,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_right_CROPNUMBER_19_UUID_DROSO_01_LUT_19_M.jpg,0.5,3.556,87906,5.5384213828125,LUT,19,M,1,train
DROSO_01_MEL_19_F,0.926883697509766,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_40_UUID_DROSO_01_MEL_19_F.jpg,0.418691588785047,4.2465625,114447,7.21060805859375,MEL,19,F,1,train
DROSO_01_MEL_19_M,0.927430093288422,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_58_UUID_DROSO_01_MEL_19_M.jpg,0.527058823529412,3.3734375,77723,4.89685260546875,MEL,19,M,1,train
DROSO_01_SIM_19_F,0.928285837173462,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_left_CROPNUMBER_16_UUID_DROSO_01_SIM_19_F.jpg,0.607046070460705,2.9289375,66460,4.187239609375,SIM,19,F,1,train
DROSO_01_MEL_19_M,0.928396046161652,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_57_UUID_DROSO_01_MEL_19_M.jpg,0.357827476038339,4.968875,92382,5.8204268671875,MEL,19,M,1,train
DROSO_01_VIR_19_M,0.928950726985931,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_right_CROPNUMBER_9_UUID_DROSO_01_VIR_19_M.jpg,0.359550561797753,4.9450625,117053,7.37479623828125,VIR,19,M,1,train
DROSO_01_VIR_19_M,0.929075598716736,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_right_CROPNUMBER_8_UUID_DROSO_01_VIR_19_M.jpg,0.377740303541315,4.7069375,110473,6.96023053515625,VIR,19,M,1,train
DROSO_01_MEL_19_M,0.929079115390778,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_56_UUID_DROSO_01_MEL_19_M.jpg,0.484848484848485,3.667125,69913,4.40479209765625,MEL,19,M,1,train
DROSO_01_SIM_19_F,0.929250359535217,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_left_CROPNUMBER_15_UUID_DROSO_01_SIM_19_F.jpg,0.608695652173913,2.921,67872,4.276201125,SIM,19,F,1,train
DROSO_01_MEL_19_M,0.929477214813232,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_55_UUID_DROSO_01_MEL_19_M.jpg,0.469601677148847,3.7861875,83722,5.2748130390625,MEL,19,M,1,train
DROSO_01_MEL_19_M,0.929738581180572,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_54_UUID_DROSO_01_MEL_19_M.jpg,0.391608391608392,4.54025,86683,5.46136760546875,MEL,19,M,1,train
DROSO_01_MEL_19_F,0.929957270622253,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_39_UUID_DROSO_01_MEL_19_F.jpg,0.43495145631068,4.0878125,88884,5.600039203125,MEL,19,F,1,train
DROSO_01_EQU_19_F,0.93025529384613,00_data/02_resized/crops/crop_2026-01-14_09-38-42.top_left_CROPNUMBER_11_UUID_DROSO_01_EQU_19_F.jpg,0.670658682634731,2.651125,47009,2.96175062890625,EQU,19,F,1,train
DROSO_01_MEL_19_F,0.930489838123322,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_38_UUID_DROSO_01_MEL_19_F.jpg,0.427480916030534,4.15925,105235,6.63021607421875,MEL,19,F,1,train
DROSO_01_VIR_19_F,0.930583596229553,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_left_CROPNUMBER_12_UUID_DROSO_01_VIR_19_F.jpg,0.346213292117465,5.1355625,121713,7.66839444140625,VIR,19,F,1,train
DROSO_01_LUT_19_M,0.930610239505768,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_right_CROPNUMBER_18_UUID_DROSO_01_LUT_19_M.jpg,0.459958932238193,3.8655625,81678,5.1460330546875,LUT,19,M,1,train
DROSO_01_MEL_19_F,0.931071102619171,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_37_UUID_DROSO_01_MEL_19_F.jpg,0.461855670103093,3.8496875,85174,5.3662947109375,MEL,19,F,1,train
DROSO_01_MEL_19_F,0.931094348430634,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_36_UUID_DROSO_01_MEL_19_F.jpg,0.471578947368421,3.7703125,88434,5.5716874453125,MEL,19,F,1,train
DROSO_01_MEL_19_M,0.931149780750275,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_53_UUID_DROSO_01_MEL_19_M.jpg,0.490153172866521,3.6274375,76735,4.83460474609375,MEL,19,M,1,train
DROSO_01_MEL_19_M,0.931337893009186,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_52_UUID_DROSO_01_MEL_19_M.jpg,0.420262664165103,4.2306875,97895,6.16776740234375,MEL,19,M,1,train
DROSO_01_EQU_19_M,0.931463837623596,00_data/02_resized/crops/crop_2026-01-14_09-38-42.top_right_CROPNUMBER_7_UUID_DROSO_01_EQU_19_M.jpg,0.598930481283422,2.968625,58028,3.655990671875,EQU,19,M,1,train
DROSO_01_EQU_19_F,0.931478440761566,00_data/02_resized/crops/crop_2026-01-14_09-38-42.top_left_CROPNUMBER_10_UUID_DROSO_01_EQU_19_F.jpg,0.406533575317604,4.3735625,84633,5.33220959765625,EQU,19,F,1,train
DROSO_01_LUT_19_M,0.931515276432037,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_right_CROPNUMBER_17_UUID_DROSO_01_LUT_19_M.jpg,0.440944881889764,4.03225,78014,4.9151867421875,LUT,19,M,1,train
DROSO_01_MEL_19_M,0.931755125522614,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_51_UUID_DROSO_01_MEL_19_M.jpg,0.528301886792453,3.3655,70251,4.42608741796875,MEL,19,M,1,train
DROSO_01_MEL_19_F,0.931966364383698,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_35_UUID_DROSO_01_MEL_19_F.jpg,0.463768115942029,3.8338125,89353,5.62958803515625,MEL,19,F,1,train
DROSO_01_VIR_19_F,0.932037532329559,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_left_CROPNUMBER_11_UUID_DROSO_01_VIR_19_F.jpg,0.345146379044684,5.1514375,116493,7.33951405078125,VIR,19,F,1,train
DROSO_01_SIM_19_M,0.932225942611694,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_right_CROPNUMBER_15_UUID_DROSO_01_SIM_19_M.jpg,0.489082969432314,3.635375,88369,5.56759219140625,SIM,19,M,1,train
DROSO_01_MEL_19_M,0.932264983654022,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_50_UUID_DROSO_01_MEL_19_M.jpg,0.567088607594937,3.1353125,76153,4.79793647265625,MEL,19,M,1,train
DROSO_01_SIM_19_F,0.932274341583252,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_left_CROPNUMBER_14_UUID_DROSO_01_SIM_19_F.jpg,0.461855670103093,3.8496875,86816,5.469747125,SIM,19,F,1,train
DROSO_01_SIM_19_F,0.932373881340027,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_left_CROPNUMBER_13_UUID_DROSO_01_SIM_19_F.jpg,0.564231738035265,3.1511875,81714,5.1483011953125,SIM,19,F,1,train
DROSO_01_MEL_19_F,0.93238353729248,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_34_UUID_DROSO_01_MEL_19_F.jpg,0.418691588785047,4.2465625,91788,5.783002546875,MEL,19,F,1,train
DROSO_01_VIR_19_M,0.932402074337006,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_right_CROPNUMBER_7_UUID_DROSO_01_VIR_19_M.jpg,0.367816091954023,4.8339375,129924,8.185719515625,VIR,19,M,1,train
DROSO_01_LUT_19_M,0.932999610900879,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_right_CROPNUMBER_16_UUID_DROSO_01_LUT_19_M.jpg,0.592592592592593,3.000375,61114,3.8504207265625,LUT,19,M,1,train
DROSO_01_MEL_19_M,0.933050036430359,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_49_UUID_DROSO_01_MEL_19_M.jpg,0.512585812356979,3.4686875,68504,4.31601959375,MEL,19,M,1,train
DROSO_01_LUT_19_F,0.933066666126251,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_left_CROPNUMBER_13_UUID_DROSO_01_LUT_19_F.jpg,0.32796486090776,5.4213125,139960,8.81802671875,LUT,19,F,1,train
DROSO_01_SIM_19_M,0.933088064193726,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_right_CROPNUMBER_14_UUID_DROSO_01_SIM_19_M.jpg,0.48695652173913,3.65125,79757,5.02500255078125,SIM,19,M,1,train
DROSO_01_MEL_19_F,0.933105170726776,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_33_UUID_DROSO_01_MEL_19_F.jpg,0.450704225352113,3.9449375,88016,5.5453518125,MEL,19,F,1,train
DROSO_01_SIM_19_M,0.933139324188232,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_right_CROPNUMBER_13_UUID_DROSO_01_SIM_19_M.jpg,0.495575221238938,3.58775,78220,4.928165546875,SIM,19,M,1,train
DROSO_01_MEL_19_M,0.93363618850708,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_48_UUID_DROSO_01_MEL_19_M.jpg,0.492307692307692,3.6115625,74239,4.67734699609375,MEL,19,M,1,train
DROSO_01_MEL_19_M,0.933784484863281,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_47_UUID_DROSO_01_MEL_19_M.jpg,0.470588235294118,3.77825,78261,4.93074870703125,MEL,19,M,1,train
DROSO_01_SIM_19_M,0.934037148952484,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_right_CROPNUMBER_12_UUID_DROSO_01_SIM_19_M.jpg,0.645533141210375,2.7543125,62377,3.92999466015625,SIM,19,M,1,train
DROSO_01_EQU_19_F,0.934192538261414,00_data/02_resized/crops/crop_2026-01-14_09-38-42.top_left_CROPNUMBER_9_UUID_DROSO_01_EQU_19_F.jpg,0.395759717314488,4.492625,96501,6.07993995703125,EQU,19,F,1,train
DROSO_01_MEL_19_F,0.934262335300446,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_32_UUID_DROSO_01_MEL_19_F.jpg,0.32,5.55625,132628,8.356082078125,MEL,19,F,1,train
DROSO_01_MEL_19_F,0.934431791305542,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_31_UUID_DROSO_01_MEL_19_F.jpg,0.357827476038339,4.968875,119309,7.51693305078125,MEL,19,F,1,train
DROSO_01_VIR_19_F,0.934659659862518,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_left_CROPNUMBER_10_UUID_DROSO_01_VIR_19_F.jpg,0.360708534621578,4.9291875,115699,7.28948894921875,VIR,19,F,1,train
DROSO_01_MEL_19_M,0.934669077396393,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_46_UUID_DROSO_01_MEL_19_M.jpg,0.380952380952381,4.66725,108162,6.8146285078125,MEL,19,M,1,train
DROSO_01_SIM_19_F,0.93470048904419,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_left_CROPNUMBER_12_UUID_DROSO_01_SIM_19_F.jpg,0.4880174291939,3.6433125,87245,5.49677580078125,SIM,19,F,1,train
DROSO_01_SIM_19_F,0.93493664264679,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_left_CROPNUMBER_11_UUID_DROSO_01_SIM_19_F.jpg,0.462809917355372,3.84175,101556,6.398424703125,SIM,19,F,1,train
DROSO_01_EQU_19_F,0.934959709644318,00_data/02_resized/crops/crop_2026-01-14_09-38-42.top_left_CROPNUMBER_8_UUID_DROSO_01_EQU_19_F.jpg,0.568527918781726,3.127375,62011,3.90693523046875,EQU,19,F,1,train
DROSO_01_MEL_19_M,0.935048818588257,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_45_UUID_DROSO_01_MEL_19_M.jpg,0.384879725085911,4.619625,94179,5.93364488671875,MEL,19,M,1,train
DROSO_01_SIM_19_M,0.935096561908722,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_right_CROPNUMBER_11_UUID_DROSO_01_SIM_19_M.jpg,0.545012165450122,3.2623125,74151,4.67180265234375,SIM,19,M,1,train
DROSO_01_SIM_19_F,0.935230910778046,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_left_CROPNUMBER_10_UUID_DROSO_01_SIM_19_F.jpg,0.466666666666667,3.81,93129,5.86749078515625,SIM,19,F,1,train
DROSO_01_MEL_19_M,0.935427486896515,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_44_UUID_DROSO_01_MEL_19_M.jpg,0.459958932238193,3.8655625,87858,5.5353971953125,MEL,19,M,1,train
DROSO_01_MEL_19_F,0.935485422611237,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_30_UUID_DROSO_01_MEL_19_F.jpg,0.420262664165103,4.2306875,115285,7.26340533203125,MEL,19,F,1,train
DROSO_01_SIM_19_M,0.935713589191437,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_right_CROPNUMBER_10_UUID_DROSO_01_SIM_19_M.jpg,0.457142857142857,3.889375,102961,6.48694519140625,SIM,19,M,1,train
DROSO_01_MEL_19_M,0.935737609863281,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_43_UUID_DROSO_01_MEL_19_M.jpg,0.478632478632479,3.71475,81039,5.10577355859375,MEL,19,M,1,train
DROSO_01_MEL_19_M,0.935894131660461,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_42_UUID_DROSO_01_MEL_19_M.jpg,0.458077709611452,3.8814375,98218,6.1881176640625,MEL,19,M,1,train
DROSO_01_MEL_19_F,0.935928344726562,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_29_UUID_DROSO_01_MEL_19_F.jpg,0.4234404536862,4.1989375,92501,5.82792433203125,MEL,19,F,1,train
DROSO_01_MEL_19_M,0.936043560504913,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_41_UUID_DROSO_01_MEL_19_M.jpg,0.466666666666667,3.81,78148,4.923629265625,MEL,19,M,1,train
DROSO_01_MEL_19_M,0.936044692993164,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_40_UUID_DROSO_01_MEL_19_M.jpg,0.483801295896328,3.6750625,78863,4.96867705859375,MEL,19,M,1,train
DROSO_01_MEL_19_M,0.936050891876221,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_39_UUID_DROSO_01_MEL_19_M.jpg,0.553086419753086,3.2146875,77520,4.8840628125,MEL,19,M,1,train
DROSO_01_MEL_19_M,0.93610280752182,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_38_UUID_DROSO_01_MEL_19_M.jpg,0.4880174291939,3.6433125,96551,6.08309015234375,MEL,19,M,1,train
DROSO_01_MEL_19_F,0.936290621757507,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_28_UUID_DROSO_01_MEL_19_F.jpg,0.43495145631068,4.0878125,88871,5.59922015234375,MEL,19,F,1,train
DROSO_01_MEL_19_M,0.936351895332336,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_37_UUID_DROSO_01_MEL_19_M.jpg,0.530805687203792,3.349625,64267,4.04907204296875,MEL,19,M,1,train
DROSO_01_LUT_19_M,0.936359524726868,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_right_CROPNUMBER_15_UUID_DROSO_01_LUT_19_M.jpg,0.399286987522282,4.4529375,99085,6.24274205078125,LUT,19,M,1,train
DROSO_01_LUT_19_M,0.936401963233948,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_right_CROPNUMBER_14_UUID_DROSO_01_LUT_19_M.jpg,0.465696465696466,3.8179375,90050,5.6735017578125,LUT,19,M,1,train
DROSO_01_EQU_19_F,0.936404585838318,00_data/02_resized/crops/crop_2026-01-14_09-38-42.top_left_CROPNUMBER_7_UUID_DROSO_01_EQU_19_F.jpg,0.496674057649667,3.5798125,63102,3.9756724921875,EQU,19,F,1,train
DROSO_01_LUT_19_M,0.9364333152771,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_right_CROPNUMBER_13_UUID_DROSO_01_LUT_19_M.jpg,0.4375,4.064,93733,5.90554514453125,LUT,19,M,1,train
DROSO_01_MEL_19_M,0.936524391174316,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_36_UUID_DROSO_01_MEL_19_M.jpg,0.518518518518519,3.429,81544,5.13759053125,MEL,19,M,1,train
DROSO_01_EQU_19_M,0.936528742313385,00_data/02_resized/crops/crop_2026-01-14_09-38-42.top_right_CROPNUMBER_6_UUID_DROSO_01_EQU_19_M.jpg,0.5,3.556,73670,4.6414977734375,EQU,19,M,1,train
DROSO_01_SIM_19_F,0.936576247215271,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_left_CROPNUMBER_9_UUID_DROSO_01_SIM_19_F.jpg,0.577319587628866,3.07975,70425,4.43705009765625,SIM,19,F,1,train
DROSO_01_LUT_19_F,0.93661892414093,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_left_CROPNUMBER_12_UUID_DROSO_01_LUT_19_F.jpg,0.327007299270073,5.4371875,124283,7.83031448046875,LUT,19,F,1,train
DROSO_01_LUT_19_F,0.936678946018219,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_left_CROPNUMBER_11_UUID_DROSO_01_LUT_19_F.jpg,0.397868561278863,4.4688125,125255,7.89155427734375,LUT,19,F,1,train
DROSO_01_SIM_19_M,0.936703503131867,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_right_CROPNUMBER_9_UUID_DROSO_01_SIM_19_M.jpg,0.589473684210526,3.01625,64306,4.0515291953125,SIM,19,M,1,train
DROSO_01_MEL_19_M,0.93671178817749,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_35_UUID_DROSO_01_MEL_19_M.jpg,0.388214904679376,4.5799375,89822,5.6591368671875,MEL,19,M,1,train
DROSO_01_VIR_19_M,0.936728179454804,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_right_CROPNUMBER_6_UUID_DROSO_01_VIR_19_M.jpg,0.456211812627291,3.8973125,102340,6.447819765625,VIR,19,M,1,train
DROSO_01_LUT_19_M,0.936752259731293,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_right_CROPNUMBER_12_UUID_DROSO_01_LUT_19_M.jpg,0.465696465696466,3.8179375,87845,5.53457814453125,LUT,19,M,1,train
DROSO_01_VIR_19_F,0.936777174472809,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_left_CROPNUMBER_9_UUID_DROSO_01_VIR_19_F.jpg,0.356687898089172,4.98475,105909,6.67268070703125,VIR,19,F,1,train
DROSO_01_SIM_19_M,0.93687641620636,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_right_CROPNUMBER_8_UUID_DROSO_01_SIM_19_M.jpg,0.555831265508685,3.1988125,62743,3.95305408984375,SIM,19,M,1,train
DROSO_01_MEL_19_F,0.936934530735016,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_27_UUID_DROSO_01_MEL_19_F.jpg,0.43495145631068,4.0878125,90666,5.7123121640625,MEL,19,F,1,train
DROSO_01_EQU_19_M,0.936948120594025,00_data/02_resized/crops/crop_2026-01-14_09-38-42.top_right_CROPNUMBER_5_UUID_DROSO_01_EQU_19_M.jpg,0.629213483146067,2.82575,58953,3.71426928515625,EQU,19,M,1,train
DROSO_01_MEL_19_M,0.937399923801422,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_34_UUID_DROSO_01_MEL_19_M.jpg,0.472573839662447,3.762375,89668,5.649434265625,MEL,19,M,1,train
DROSO_01_EQU_19_F,0.937405586242676,00_data/02_resized/crops/crop_2026-01-14_09-38-42.top_left_CROPNUMBER_6_UUID_DROSO_01_EQU_19_F.jpg,0.474576271186441,3.7465,87003,5.48152885546875,EQU,19,F,1,train
DROSO_01_VIR_19_F,0.937620460987091,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_left_CROPNUMBER_8_UUID_DROSO_01_VIR_19_F.jpg,0.350547730829421,5.0720625,134436,8.469993140625,VIR,19,F,1,train
DROSO_01_MEL_19_F,0.937633335590362,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_26_UUID_DROSO_01_MEL_19_F.jpg,0.436647173489279,4.0719375,88430,5.5714354296875,MEL,19,F,1,train
DROSO_01_MEL_19_F,0.93780118227005,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_25_UUID_DROSO_01_MEL_19_F.jpg,0.490153172866521,3.6274375,89659,5.64886723046875,MEL,19,F,1,train
DROSO_01_MEL_19_F,0.937826871871948,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_24_UUID_DROSO_01_MEL_19_F.jpg,0.426666666666667,4.1671875,91367,5.75647790234375,MEL,19,F,1,train
DROSO_01_MEL_19_F,0.937840163707733,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_23_UUID_DROSO_01_MEL_19_F.jpg,0.353312302839117,5.032375,123369,7.77272891015625,MEL,19,F,1,train
DROSO_01_VIR_19_F,0.937867641448975,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_left_CROPNUMBER_7_UUID_DROSO_01_VIR_19_F.jpg,0.421052631578947,4.22275,95593,6.02273241015625,VIR,19,F,1,train
